Age,Gender,Height_cm,Weight_kg,Desired_Weight_kg,Time_Period_weeks,BMI,BMR,Daily_Calories_Maintenance,Daily_Calories_Target,Breakfast,Lunch,Dinner,Snack
61,Female,196,67,58,15,17.44,1429.0,2214.95,1554.95,Greek yogurt,Pasta with veggies,Tofu curry,Nuts and fruits
43,Female,165,104,91,10,38.2,1695.25,2627.64,1197.64,Eggs and toast,Rice and beans,Vegetable stir-fry,Hummus with carrots
49,Male,186,74,67,12,21.39,1662.5,2576.88,1935.21,Pancakes,Rice and beans,Salmon and quinoa,Hummus with carrots
23,Male,169,108,95,9,37.81,2026.25,3140.69,1551.8,Eggs and toast,Rice and beans,Chicken soup,Cheese and crackers
49,Male,155,71,60,20,29.55,1438.75,2230.06,1625.06,Oatmeal with fruits,Sushi,Salmon and quinoa,Cheese and crackers
21,Female,168,79,79,19,27.99,1574.0,2439.7,2439.7,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Protein bar
28,Female,154,93,83,6,39.21,1591.5,2466.83,633.49,Greek yogurt,Rice and beans,Salmon and quinoa,Protein bar
34,Male,152,81,75,24,35.06,1595.0,2472.25,2197.25,Smoothie,Rice and beans,Salmon and quinoa,Nuts and fruits
55,Male,150,100,87,7,44.44,1667.5,2584.62,541.77,Eggs and toast,Rice and beans,Steak with veggies,Hummus with carrots
41,Male,187,95,96,13,27.17,1918.75,2974.06,3058.68,Smoothie,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
22,Female,164,70,59,8,26.03,1454.0,2253.7,741.2,Oatmeal with fruits,Sushi,Tofu curry,Nuts and fruits
51,Female,183,81,86,24,24.19,1537.75,2383.51,2612.68,Pancakes,Grilled chicken salad,Chicken soup,Hummus with carrots
23,Female,184,88,84,25,25.99,1754.0,2718.7,2542.7,Pancakes,Sushi,Steak with veggies,Protein bar
39,Female,198,61,52,13,15.56,1491.5,2311.83,1550.29,Smoothie,Rice and beans,Chicken soup,Hummus with carrots
28,Male,174,96,91,15,31.71,1912.5,2964.38,2597.71,Pancakes,Pasta with veggies,Chicken soup,Dark chocolate
33,Male,173,67,60,13,22.39,1591.25,2466.44,1874.13,Eggs and toast,Burrito bowl,Vegetable stir-fry,Dark chocolate
50,Male,161,70,71,16,27.01,1461.25,2264.94,2333.69,Smoothie,Burrito bowl,Vegetable stir-fry,Dark chocolate
26,Male,167,62,67,14,22.23,1538.75,2385.06,2777.92,Greek yogurt,Rice and beans,Steak with veggies,Cheese and crackers
23,Female,164,70,64,25,26.03,1449.0,2245.95,1981.95,Eggs and toast,Grilled chicken salad,Vegetable stir-fry,Protein bar
33,Female,193,57,52,19,15.3,1450.25,2247.89,1958.41,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Protein bar
46,Male,165,95,84,11,34.89,1756.25,2722.19,1622.19,Eggs and toast,Sushi,Vegetable stir-fry,Cheese and crackers
20,Male,176,56,58,11,18.08,1565.0,2425.75,2625.75,Greek yogurt,Rice and beans,Chicken soup,Nuts and fruits
37,Female,157,72,63,11,29.21,1355.25,2100.64,1200.64,Oatmeal with fruits,Pasta with veggies,Steak with veggies,Dark chocolate
53,Male,195,71,68,16,18.67,1668.75,2586.56,2380.31,Pancakes,Pasta with veggies,Chicken soup,Dark chocolate
36,Female,174,71,57,5,23.45,1456.5,2257.58,-822.42,Smoothie,Sushi,Tofu curry,Nuts and fruits
43,Male,166,78,65,15,28.31,1607.5,2491.62,1538.29,Oatmeal with fruits,Pasta with veggies,Chicken soup,Hummus with carrots
20,Male,178,62,49,13,19.57,1637.5,2538.12,1438.12,Smoothie,Grilled chicken salad,Tofu curry,Hummus with carrots
36,Male,157,51,45,15,20.69,1316.25,2040.19,1600.19,Pancakes,Grilled chicken salad,Salmon and quinoa,Protein bar
37,Male,164,78,79,14,29.0,1625.0,2518.75,2597.32,Greek yogurt,Grilled chicken salad,Salmon and quinoa,Cheese and crackers
49,Male,176,101,97,18,32.61,1870.0,2898.5,2654.06,Eggs and toast,Pasta with veggies,Tofu curry,Protein bar
24,Male,195,76,65,19,19.99,1863.75,2888.81,2251.97,Eggs and toast,Grilled chicken salad,Tofu curry,Hummus with carrots
58,Male,199,99,100,20,25.0,1948.75,3020.56,3075.56,Greek yogurt,Sushi,Chicken soup,Nuts and fruits
50,Female,156,72,62,5,29.59,1284.0,1990.2,-209.8,Oatmeal with fruits,Pasta with veggies,Tofu curry,Protein bar
57,Female,152,93,92,21,40.25,1434.0,2222.7,2170.32,Oatmeal with fruits,Burrito bowl,Steak with veggies,Dark chocolate
56,Female,178,71,68,15,22.41,1381.5,2141.33,1921.33,Smoothie,Pasta with veggies,Salmon and quinoa,Dark chocolate
35,Female,193,92,95,22,24.7,1790.25,2774.89,2924.89,Greek yogurt,Sushi,Salmon and quinoa,Nuts and fruits
57,Female,173,86,77,21,28.73,1495.25,2317.64,1846.21,Oatmeal with fruits,Burrito bowl,Tofu curry,Hummus with carrots
18,Male,152,110,100,20,47.61,1965.0,3045.75,2495.75,Greek yogurt,Pasta with veggies,Vegetable stir-fry,Dark chocolate
28,Male,169,105,93,9,36.76,1971.25,3055.44,1588.77,Pancakes,Grilled chicken salad,Vegetable stir-fry,Dark chocolate
45,Female,195,52,44,18,13.68,1352.75,2096.76,1607.87,Eggs and toast,Rice and beans,Tofu curry,Cheese and crackers
42,Male,164,112,115,6,41.64,1940.0,3007.0,3557.0,Eggs and toast,Rice and beans,Steak with veggies,Protein bar
40,Female,174,68,62,9,22.46,1406.5,2180.08,1446.74,Eggs and toast,Grilled chicken salad,Vegetable stir-fry,Hummus with carrots
48,Female,179,72,69,6,22.47,1437.75,2228.51,1678.51,Greek yogurt,Rice and beans,Tofu curry,Protein bar
47,Male,163,78,77,4,29.36,1568.75,2431.56,2156.56,Greek yogurt,Rice and beans,Steak with veggies,Hummus with carrots
59,Male,156,79,76,16,32.46,1475.0,2286.25,2080.0,Smoothie,Grilled chicken salad,Steak with veggies,Dark chocolate
52,Male,166,88,81,24,31.93,1662.5,2576.88,2256.04,Eggs and toast,Grilled chicken salad,Chicken soup,Cheese and crackers
24,Female,193,74,62,17,19.87,1665.25,2581.14,1804.67,Smoothie,Pasta with veggies,Steak with veggies,Protein bar
33,Male,169,57,58,16,19.96,1466.25,2272.69,2341.44,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Dark chocolate
43,Female,185,107,100,7,31.26,1850.25,2867.89,1767.89,Smoothie,Grilled chicken salad,Vegetable stir-fry,Hummus with carrots
19,Female,158,65,67,10,26.04,1381.5,2141.33,2361.33,Smoothie,Sushi,Tofu curry,Protein bar
18,Female,187,50,54,25,14.3,1417.75,2197.51,2373.51,Pancakes,Rice and beans,Tofu curry,Protein bar
29,Male,197,54,44,13,13.91,1631.25,2528.44,1682.28,Smoothie,Pasta with veggies,Steak with veggies,Dark chocolate
22,Male,171,52,49,10,17.78,1483.75,2299.81,1969.81,Greek yogurt,Rice and beans,Salmon and quinoa,Protein bar
54,Female,151,114,111,24,50.0,1652.75,2561.76,2424.26,Smoothie,Burrito bowl,Chicken soup,Cheese and crackers
49,Male,173,53,53,18,17.71,1371.25,2125.44,2125.44,Eggs and toast,Grilled chicken salad,Salmon and quinoa,Cheese and crackers
26,Male,157,113,108,18,45.84,1986.25,3078.69,2773.13,Smoothie,Sushi,Steak with veggies,Dark chocolate
58,Male,160,59,64,7,23.05,1305.0,2022.75,2808.46,Oatmeal with fruits,Burrito bowl,Steak with veggies,Hummus with carrots
52,Female,162,70,72,9,26.67,1291.5,2001.82,2246.27,Eggs and toast,Burrito bowl,Salmon and quinoa,Dark chocolate
36,Female,166,95,88,23,34.48,1646.5,2552.08,2217.29,Oatmeal with fruits,Burrito bowl,Chicken soup,Cheese and crackers
33,Male,157,76,69,8,30.83,1581.25,2450.94,1488.44,Eggs and toast,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
20,Female,170,115,108,23,39.79,1951.5,3024.82,2690.04,Greek yogurt,Pasta with veggies,Tofu curry,Nuts and fruits
37,Male,167,90,94,15,32.27,1763.75,2733.81,3027.15,Greek yogurt,Grilled chicken salad,Vegetable stir-fry,Protein bar
41,Male,179,62,59,4,19.35,1538.75,2385.06,1560.06,Greek yogurt,Pasta with veggies,Tofu curry,Protein bar
50,Male,167,58,56,11,20.8,1378.75,2137.06,1937.06,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Nuts and fruits
41,Male,195,85,84,4,22.35,1868.75,2896.56,2621.56,Pancakes,Burrito bowl,Steak with veggies,Cheese and crackers
28,Female,196,107,109,8,27.85,1994.0,3090.7,3365.7,Eggs and toast,Sushi,Chicken soup,Protein bar
25,Female,180,103,91,25,31.79,1869.0,2896.95,2368.95,Greek yogurt,Pasta with veggies,Salmon and quinoa,Dark chocolate
53,Female,187,61,64,9,17.44,1352.75,2096.76,2463.43,Eggs and toast,Burrito bowl,Chicken soup,Dark chocolate
55,Male,181,63,63,24,19.23,1491.25,2311.44,2311.44,Oatmeal with fruits,Rice and beans,Salmon and quinoa,Cheese and crackers
57,Male,160,83,77,6,32.42,1550.0,2402.5,1302.5,Pancakes,Sushi,Tofu curry,Protein bar
37,Male,194,102,96,18,27.1,2052.5,3181.38,2814.71,Oatmeal with fruits,Grilled chicken salad,Tofu curry,Dark chocolate
52,Female,174,69,67,8,22.79,1356.5,2102.58,1827.58,Eggs and toast,Sushi,Salmon and quinoa,Protein bar
42,Male,182,65,70,17,19.62,1582.5,2452.88,2776.4,Pancakes,Rice and beans,Chicken soup,Protein bar
52,Female,187,119,121,21,34.03,1937.75,3003.51,3108.27,Pancakes,Pasta with veggies,Salmon and quinoa,Dark chocolate
42,Female,190,105,100,19,29.09,1866.5,2893.08,2603.6,Oatmeal with fruits,Grilled chicken salad,Steak with veggies,Nuts and fruits
46,Female,157,107,110,9,43.41,1660.25,2573.39,2940.05,Greek yogurt,Grilled chicken salad,Tofu curry,Dark chocolate
35,Female,160,53,46,17,20.7,1194.0,1850.7,1397.76,Eggs and toast,Pasta with veggies,Steak with veggies,Cheese and crackers
63,Female,171,53,42,11,18.13,1122.75,1740.26,640.26,Smoothie,Sushi,Tofu curry,Hummus with carrots
35,Female,173,69,65,10,23.05,1435.25,2224.64,1784.64,Smoothie,Burrito bowl,Tofu curry,Dark chocolate
19,Male,190,59,53,11,16.34,1687.5,2615.62,2015.62,Oatmeal with fruits,Sushi,Vegetable stir-fry,Protein bar
52,Male,166,73,64,16,26.49,1512.5,2344.38,1725.62,Eggs and toast,Rice and beans,Steak with veggies,Protein bar
33,Female,161,75,71,9,28.93,1430.25,2216.89,1728.0,Eggs and toast,Burrito bowl,Steak with veggies,Dark chocolate
58,Female,195,86,78,21,22.62,1627.75,2523.01,2103.96,Oatmeal with fruits,Sushi,Vegetable stir-fry,Hummus with carrots
53,Male,181,103,96,5,31.44,1901.25,2946.94,1406.94,Eggs and toast,Pasta with veggies,Chicken soup,Dark chocolate
50,Female,164,70,71,11,26.03,1314.0,2036.7,2136.7,Greek yogurt,Rice and beans,Steak with veggies,Hummus with carrots
21,Female,165,87,87,14,31.96,1635.25,2534.64,2534.64,Oatmeal with fruits,Rice and beans,Salmon and quinoa,Hummus with carrots
50,Male,171,95,99,4,32.49,1773.75,2749.31,3849.31,Greek yogurt,Rice and beans,Vegetable stir-fry,Cheese and crackers
31,Female,177,53,42,25,16.92,1320.25,2046.39,1562.39,Eggs and toast,Burrito bowl,Steak with veggies,Protein bar
38,Female,169,109,111,9,38.16,1795.25,2782.64,3027.08,Oatmeal with fruits,Grilled chicken salad,Chicken soup,Protein bar
37,Female,182,106,98,19,32.0,1851.5,2869.82,2406.67,Eggs and toast,Burrito bowl,Steak with veggies,Hummus with carrots
25,Male,159,94,90,23,37.18,1813.75,2811.31,2620.01,Oatmeal with fruits,Sushi,Tofu curry,Protein bar
24,Male,189,69,72,15,19.32,1756.25,2722.19,2942.19,Eggs and toast,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
20,Male,181,66,69,14,20.15,1696.25,2629.19,2864.9,Greek yogurt,Sushi,Vegetable stir-fry,Hummus with carrots
34,Female,199,53,44,13,13.38,1442.75,2236.26,1474.72,Greek yogurt,Grilled chicken salad,Tofu curry,Protein bar
50,Female,182,63,63,6,19.02,1356.5,2102.58,2102.58,Eggs and toast,Burrito bowl,Chicken soup,Nuts and fruits
29,Male,151,52,41,16,22.81,1323.75,2051.81,1295.56,Oatmeal with fruits,Rice and beans,Tofu curry,Cheese and crackers
39,Female,182,107,101,6,32.3,1851.5,2869.82,1769.83,Smoothie,Pasta with veggies,Tofu curry,Protein bar
39,Female,182,104,90,18,31.4,1821.5,2823.32,1967.77,Greek yogurt,Rice and beans,Chicken soup,Nuts and fruits
63,Female,190,53,48,19,14.68,1241.5,1924.32,1634.85,Greek yogurt,Burrito bowl,Tofu curry,Dark chocolate
47,Female,162,73,75,16,27.82,1346.5,2087.08,2224.58,Smoothie,Grilled chicken salad,Vegetable stir-fry,Dark chocolate
55,Female,179,83,83,20,25.9,1512.75,2344.76,2344.76,Eggs and toast,Rice and beans,Steak with veggies,Nuts and fruits
55,Male,182,79,84,6,23.85,1657.5,2569.12,3485.79,Oatmeal with fruits,Burrito bowl,Tofu curry,Hummus with carrots
62,Female,162,68,54,23,25.91,1221.5,1893.32,1223.76,Eggs and toast,Sushi,Vegetable stir-fry,Hummus with carrots
25,Male,175,80,70,14,26.12,1773.75,2749.31,1963.6,Pancakes,Pasta with veggies,Steak with veggies,Protein bar
44,Female,171,109,100,24,37.28,1777.75,2755.51,2343.01,Greek yogurt,Rice and beans,Steak with veggies,Dark chocolate
44,Male,188,109,98,22,30.84,2050.0,3177.5,2627.5,Pancakes,Grilled chicken salad,Tofu curry,Hummus with carrots
51,Female,151,68,66,25,29.82,1207.75,1872.01,1784.01,Greek yogurt,Sushi,Vegetable stir-fry,Hummus with carrots
38,Male,187,98,92,14,28.02,1963.75,3043.81,2572.38,Greek yogurt,Burrito bowl,Tofu curry,Dark chocolate
47,Female,188,112,108,19,31.69,1899.0,2943.45,2711.87,Pancakes,Pasta with veggies,Chicken soup,Cheese and crackers
50,Male,175,71,62,24,23.18,1558.75,2416.06,2003.56,Pancakes,Grilled chicken salad,Steak with veggies,Hummus with carrots
45,Female,195,73,70,6,19.2,1562.75,2422.26,1872.26,Eggs and toast,Burrito bowl,Tofu curry,Nuts and fruits
64,Male,199,79,83,25,19.95,1718.75,2664.06,2840.06,Pancakes,Burrito bowl,Steak with veggies,Protein bar
50,Female,164,107,108,9,39.78,1684.0,2610.2,2732.42,Eggs and toast,Rice and beans,Vegetable stir-fry,Hummus with carrots
22,Male,183,80,80,17,23.89,1838.75,2850.06,2850.06,Eggs and toast,Rice and beans,Salmon and quinoa,Hummus with carrots
36,Male,191,113,112,21,30.98,2148.75,3330.56,3278.18,Eggs and toast,Grilled chicken salad,Tofu curry,Cheese and crackers
21,Female,193,68,73,20,18.26,1620.25,2511.39,2786.39,Greek yogurt,Burrito bowl,Tofu curry,Nuts and fruits
52,Female,198,97,96,7,24.74,1786.5,2769.08,2611.93,Greek yogurt,Rice and beans,Steak with veggies,Protein bar
34,Male,189,94,80,18,26.32,1956.25,3032.19,2176.63,Pancakes,Pasta with veggies,Vegetable stir-fry,Hummus with carrots
61,Female,160,104,98,14,40.62,1574.0,2439.7,1968.27,Greek yogurt,Pasta with veggies,Chicken soup,Protein bar
45,Male,152,104,94,6,45.01,1770.0,2743.5,910.17,Pancakes,Burrito bowl,Vegetable stir-fry,Dark chocolate
47,Male,155,67,57,6,27.89,1408.75,2183.56,350.23,Greek yogurt,Rice and beans,Tofu curry,Hummus with carrots
46,Male,158,112,107,19,44.86,1882.5,2917.88,2628.4,Oatmeal with fruits,Grilled chicken salad,Chicken soup,Hummus with carrots
63,Female,155,96,98,8,39.96,1452.75,2251.76,2526.76,Oatmeal with fruits,Grilled chicken salad,Vegetable stir-fry,Dark chocolate
23,Male,158,106,99,24,42.46,1937.5,3003.12,2682.29,Pancakes,Grilled chicken salad,Salmon and quinoa,Cheese and crackers
52,Male,188,94,93,13,26.6,1860.0,2883.0,2798.38,Greek yogurt,Pasta with veggies,Steak with veggies,Hummus with carrots
58,Female,180,82,84,22,25.31,1494.0,2315.7,2415.7,Greek yogurt,Rice and beans,Vegetable stir-fry,Protein bar
54,Female,181,66,57,7,20.15,1360.25,2108.39,694.1,Eggs and toast,Rice and beans,Vegetable stir-fry,Nuts and fruits
41,Female,190,119,106,22,32.96,2011.5,3117.82,2467.83,Smoothie,Pasta with veggies,Salmon and quinoa,Protein bar
46,Female,199,53,50,14,13.38,1382.75,2143.26,1907.55,Pancakes,Grilled chicken salad,Tofu curry,Cheese and crackers
63,Male,161,69,64,5,26.62,1386.25,2148.69,1048.69,Smoothie,Grilled chicken salad,Steak with veggies,Nuts and fruits
48,Male,157,96,94,13,38.95,1706.25,2644.69,2475.46,Smoothie,Burrito bowl,Vegetable stir-fry,Protein bar
52,Male,157,64,69,14,25.96,1366.25,2117.69,2510.54,Pancakes,Sushi,Chicken soup,Protein bar
50,Male,199,119,117,23,30.05,2188.75,3392.56,3296.91,Greek yogurt,Rice and beans,Vegetable stir-fry,Dark chocolate
38,Female,177,96,89,19,30.64,1715.25,2658.64,2253.37,Pancakes,Rice and beans,Steak with veggies,Cheese and crackers
49,Male,169,58,60,22,20.31,1396.25,2164.19,2264.19,Smoothie,Rice and beans,Vegetable stir-fry,Dark chocolate
40,Male,196,65,63,14,16.92,1680.0,2604.0,2446.86,Greek yogurt,Sushi,Salmon and quinoa,Nuts and fruits
50,Female,156,118,121,17,48.49,1744.0,2703.2,2897.32,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Dark chocolate
20,Male,160,110,107,5,42.97,2005.0,3107.75,2447.75,Pancakes,Sushi,Vegetable stir-fry,Cheese and crackers
35,Male,169,59,63,8,20.66,1476.25,2288.19,2838.19,Pancakes,Grilled chicken salad,Chicken soup,Hummus with carrots
42,Male,165,99,103,8,36.36,1816.25,2815.19,3365.19,Greek yogurt,Grilled chicken salad,Salmon and quinoa,Hummus with carrots
59,Male,153,52,45,22,22.21,1186.25,1838.69,1488.69,Oatmeal with fruits,Rice and beans,Salmon and quinoa,Nuts and fruits
48,Male,155,119,110,24,49.53,1923.75,2981.81,2569.31,Oatmeal with fruits,Pasta with veggies,Vegetable stir-fry,Hummus with carrots
20,Male,171,100,94,15,34.2,1973.75,3059.31,2619.31,Greek yogurt,Rice and beans,Chicken soup,Dark chocolate
57,Female,175,68,70,21,22.2,1327.75,2058.01,2162.77,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Nuts and fruits
63,Female,152,91,89,7,39.39,1384.0,2145.2,1830.91,Pancakes,Sushi,Vegetable stir-fry,Cheese and crackers
41,Male,190,84,81,25,23.27,1827.5,2832.62,2700.62,Pancakes,Grilled chicken salad,Steak with veggies,Nuts and fruits
49,Male,191,95,96,20,26.04,1903.75,2950.81,3005.81,Smoothie,Pasta with veggies,Steak with veggies,Nuts and fruits
64,Female,163,75,61,13,28.23,1287.75,1996.01,811.4,Greek yogurt,Sushi,Chicken soup,Protein bar
39,Male,160,118,106,23,46.09,1990.0,3084.5,2510.59,Smoothie,Grilled chicken salad,Tofu curry,Protein bar
40,Male,167,113,108,9,40.52,1978.75,3067.06,2455.95,Smoothie,Pasta with veggies,Steak with veggies,Nuts and fruits
19,Male,161,86,77,17,33.18,1776.25,2753.19,2170.83,Oatmeal with fruits,Rice and beans,Tofu curry,Hummus with carrots
44,Female,172,98,95,14,33.13,1674.0,2594.7,2358.99,Pancakes,Rice and beans,Salmon and quinoa,Protein bar
59,Male,161,70,59,14,27.01,1416.25,2195.19,1330.9,Smoothie,Rice and beans,Steak with veggies,Cheese and crackers
19,Female,162,113,107,21,43.06,1886.5,2924.08,2609.79,Oatmeal with fruits,Sushi,Steak with veggies,Dark chocolate
43,Male,174,54,53,25,17.84,1417.5,2197.12,2153.12,Greek yogurt,Rice and beans,Chicken soup,Protein bar
34,Female,194,119,115,21,31.62,2071.5,3210.82,3001.3,Smoothie,Burrito bowl,Tofu curry,Nuts and fruits
57,Female,168,53,49,14,18.78,1134.0,1757.7,1443.41,Pancakes,Grilled chicken salad,Steak with veggies,Hummus with carrots
50,Male,195,88,81,24,23.14,1853.75,2873.31,2552.48,Smoothie,Sushi,Steak with veggies,Dark chocolate
26,Female,185,84,71,15,24.54,1705.25,2643.14,1689.8,Greek yogurt,Rice and beans,Chicken soup,Protein bar
60,Male,194,50,45,8,13.29,1417.5,2197.12,1509.62,Smoothie,Grilled chicken salad,Chicken soup,Hummus with carrots
56,Female,157,73,66,12,29.62,1270.25,1968.89,1327.22,Pancakes,Pasta with veggies,Tofu curry,Hummus with carrots
46,Male,178,106,104,12,33.46,1947.5,3018.62,2835.29,Oatmeal with fruits,Rice and beans,Salmon and quinoa,Hummus with carrots
59,Male,181,119,117,25,36.32,2031.25,3148.44,3060.44,Pancakes,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
43,Female,193,90,92,13,24.16,1730.25,2681.89,2851.12,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Cheese and crackers
52,Male,167,103,94,25,36.93,1818.75,2819.06,2423.06,Eggs and toast,Pasta with veggies,Steak with veggies,Hummus with carrots
42,Male,155,95,90,22,39.54,1713.75,2656.31,2406.31,Pancakes,Burrito bowl,Tofu curry,Dark chocolate
41,Female,167,109,104,4,39.08,1767.75,2740.01,1365.01,Pancakes,Grilled chicken salad,Steak with veggies,Protein bar
30,Male,168,109,114,10,38.62,1995.0,3092.25,3642.25,Greek yogurt,Burrito bowl,Tofu curry,Dark chocolate
24,Male,171,106,95,7,36.25,2013.75,3121.31,1392.74,Smoothie,Grilled chicken salad,Tofu curry,Nuts and fruits
53,Female,186,80,71,4,23.12,1536.5,2381.58,-93.42,Oatmeal with fruits,Grilled chicken salad,Tofu curry,Nuts and fruits
62,Female,181,73,59,18,22.28,1390.25,2154.89,1299.33,Oatmeal with fruits,Burrito bowl,Steak with veggies,Dark chocolate
37,Male,190,85,85,11,23.55,1857.5,2879.12,2879.12,Greek yogurt,Grilled chicken salad,Chicken soup,Cheese and crackers
18,Male,152,79,70,15,34.19,1655.0,2565.25,1905.25,Greek yogurt,Rice and beans,Steak with veggies,Nuts and fruits
25,Female,177,73,70,25,23.3,1550.25,2402.89,2270.89,Smoothie,Grilled chicken salad,Tofu curry,Nuts and fruits
63,Female,159,79,71,25,31.25,1307.75,2027.01,1675.01,Smoothie,Sushi,Vegetable stir-fry,Dark chocolate
33,Male,184,56,44,21,16.54,1550.0,2402.5,1773.93,Pancakes,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
31,Female,178,84,73,18,26.51,1636.5,2536.58,1864.35,Eggs and toast,Sushi,Tofu curry,Cheese and crackers
29,Male,164,104,92,20,38.67,1925.0,2983.75,2323.75,Smoothie,Grilled chicken salad,Vegetable stir-fry,Cheese and crackers
40,Male,182,63,64,17,19.02,1572.5,2437.38,2502.08,Greek yogurt,Grilled chicken salad,Chicken soup,Cheese and crackers
32,Male,156,59,45,17,24.24,1410.0,2185.5,1279.62,Smoothie,Burrito bowl,Tofu curry,Protein bar
45,Male,161,65,51,21,25.08,1436.25,2226.19,1492.85,Oatmeal with fruits,Rice and beans,Vegetable stir-fry,Cheese and crackers
51,Male,198,103,100,23,26.27,2017.5,3127.12,2983.65,Eggs and toast,Rice and beans,Tofu curry,Cheese and crackers
19,Female,179,119,114,21,37.14,2052.75,3181.76,2919.86,Pancakes,Pasta with veggies,Steak with veggies,Protein bar
49,Female,170,93,98,19,32.18,1586.5,2459.08,2748.55,Oatmeal with fruits,Burrito bowl,Vegetable stir-fry,Hummus with carrots
40,Female,180,94,82,4,29.01,1704.0,2641.2,-658.8,Oatmeal with fruits,Burrito bowl,Steak with veggies,Nuts and fruits
39,Female,173,105,105,14,35.08,1775.25,2751.64,2751.64,Eggs and toast,Rice and beans,Steak with veggies,Cheese and crackers
42,Male,169,106,110,18,37.11,1911.25,2962.44,3206.88,Pancakes,Burrito bowl,Vegetable stir-fry,Nuts and fruits
39,Male,186,70,61,15,20.23,1672.5,2592.38,1932.38,Greek yogurt,Rice and beans,Salmon and quinoa,Dark chocolate
39,Male,153,117,109,11,49.98,1936.25,3001.19,2201.19,Pancakes,Burrito bowl,Vegetable stir-fry,Nuts and fruits
59,Male,177,99,100,25,31.6,1806.25,2799.69,2843.69,Smoothie,Grilled chicken salad,Salmon and quinoa,Protein bar
23,Female,193,82,82,23,22.01,1750.25,2712.89,2712.89,Oatmeal with fruits,Rice and beans,Tofu curry,Nuts and fruits
32,Male,169,56,56,9,19.61,1461.25,2264.94,2264.94,Smoothie,Rice and beans,Tofu curry,Nuts and fruits
60,Male,173,119,107,6,39.76,1976.25,3063.19,863.19,Greek yogurt,Sushi,Vegetable stir-fry,Nuts and fruits
54,Female,199,64,56,16,16.16,1452.75,2251.76,1701.76,Smoothie,Burrito bowl,Tofu curry,Hummus with carrots
50,Female,198,81,77,16,20.66,1636.5,2536.58,2261.58,Pancakes,Burrito bowl,Chicken soup,Hummus with carrots
25,Female,181,69,61,5,21.06,1535.25,2379.64,619.64,Smoothie,Rice and beans,Steak with veggies,Dark chocolate
61,Female,190,64,57,8,17.73,1361.5,2110.33,1147.83,Greek yogurt,Grilled chicken salad,Steak with veggies,Protein bar
61,Male,185,97,100,20,28.34,1826.25,2830.69,2995.69,Greek yogurt,Grilled chicken salad,Salmon and quinoa,Nuts and fruits
22,Male,183,70,70,9,20.9,1738.75,2695.06,2695.06,Greek yogurt,Grilled chicken salad,Tofu curry,Nuts and fruits
56,Female,185,91,89,5,26.59,1625.25,2519.14,2079.14,Pancakes,Burrito bowl,Salmon and quinoa,Nuts and fruits
21,Male,151,75,69,7,32.89,1593.75,2470.31,1527.46,Greek yogurt,Sushi,Steak with veggies,Nuts and fruits
23,Male,164,63,56,25,23.42,1545.0,2394.75,2086.75,Oatmeal with fruits,Rice and beans,Steak with veggies,Hummus with carrots
62,Male,183,106,101,14,31.65,1898.75,2943.06,2550.21,Greek yogurt,Pasta with veggies,Tofu curry,Dark chocolate
49,Female,185,86,80,11,25.13,1610.25,2495.89,1895.89,Smoothie,Sushi,Chicken soup,Cheese and crackers
47,Male,155,107,112,15,44.54,1808.75,2803.56,3170.23,Smoothie,Pasta with veggies,Chicken soup,Protein bar
64,Female,188,70,59,11,19.81,1394.0,2160.7,1060.7,Smoothie,Sushi,Tofu curry,Nuts and fruits
52,Male,191,118,108,14,32.35,2118.75,3284.06,2498.35,Pancakes,Grilled chicken salad,Tofu curry,Dark chocolate
57,Male,161,52,47,25,20.06,1246.25,1931.69,1711.69,Smoothie,Burrito bowl,Salmon and quinoa,Cheese and crackers
33,Male,152,86,79,23,37.22,1650.0,2557.5,2222.72,Pancakes,Pasta with veggies,Tofu curry,Dark chocolate
30,Female,194,98,86,11,26.04,1881.5,2916.32,1716.33,Pancakes,Sushi,Chicken soup,Hummus with carrots
59,Male,167,68,63,11,24.38,1433.75,2222.31,1722.31,Greek yogurt,Burrito bowl,Tofu curry,Cheese and crackers
47,Female,189,61,55,20,17.08,1395.25,2162.64,1832.64,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Dark chocolate
36,Female,170,110,110,23,38.06,1821.5,2823.32,2823.32,Greek yogurt,Rice and beans,Salmon and quinoa,Hummus with carrots
34,Female,164,90,87,23,33.46,1594.0,2470.7,2327.22,Greek yogurt,Sushi,Salmon and quinoa,Dark chocolate
36,Male,182,82,72,19,24.76,1782.5,2762.88,2183.93,Pancakes,Rice and beans,Salmon and quinoa,Dark chocolate
45,Male,184,99,101,17,29.24,1920.0,2976.0,3105.41,Pancakes,Grilled chicken salad,Vegetable stir-fry,Cheese and crackers
